peptide_id,sequence_length,n_trp,n_tyr,n_phe,n_pro,epsilon_214_published,purity,aaa_ratio,aaa_cv,actual_concentration,rt,height,area,conc_u_m,hplc_dilution_factor,batch,aaa_adj,hplc_conc_raw,hplc_df,hplc_adj,purity_num,diff_adj,mean_xy,ratio,diff_pct_relAAA,diff_pct_of_mean,log2fc,pct_diff
PEP-0060,7,0,0,0,0,6052,0.81147,0.122875,7.3948247590585,0.1994187525,9.48333333333333,209.191491583767,26.3584198013596,14.5177460901958,5,4,199.4187525,14.5177460901958,5,217.766191352937,0.81147,18.347438852937017,208.59247192646848,1.092004581429407,9.200458142940704,8.795829822374762,0.1269789089973447,9.200458142940704
PEP-0283,13,0,0,1,1,19487,0.69218,0.141678571428571,16.9925810571362,0.196134147142857,12.042,406.518820032939,71.2130881511694,14.1194956283546,5,5,196.13414714285705,14.1194956283546,5,211.792434425319,0.69218,15.65828728246197,203.963290784088,1.079834580110403,7.983458011040291,7.677012477229327,0.1108103228212553,7.983458011040291
PEP-0235,13,0,0,2,0,22109,0.67213,0.142375,15.0087019522462,0.1913890175,,,66.3469653612483,10.0030101408549,5,5,191.3890175,10.0030101408549,5,150.0451521128235,0.67213,-41.34386538717649,170.71708480641175,0.7839799486552226,-21.602005134477736,-24.217766742010177,-0.3511113389468869,-21.602005134477736
PEP-0262,14,0,3,0,0,33874,0.84002,0.1135,14.077629978773,0.19068454,10.3875,712.319397266302,154.185935036207,15.1724956245898,5,5,190.68454000000003,15.1724956245898,5,227.587434368847,0.84002,36.90289436884697,209.13598718442356,1.1935285071817934,19.35285071817934,17.64540616164003,0.2552330253041823,19.35285071817934
PEP-0331,17,0,1,1,0,26245,0.6803,0.095,12.79,0.19,17.1996666666667,388.801432884914,66.5313800962904,8.45003874976699,5,6,190.0,8.45003874976699,5,126.75058124650486,0.6803,-63.249418753495135,158.37529062325245,0.6671083223500256,-33.289167764997444,-39.93641843029329,-0.584007055473348,-33.289167764997444
PEP-0089,8,0,0,0,0,7019,0.68163,0.139,12.3732641510754,0.18949314,10.81,143.789633410107,13.47548077379,6.39952546601604,5,4,189.49314,6.39952546601604,5,95.9928819902406,0.68163,-93.50025800975942,142.7430109951203,0.5065770823695285,-49.34229176304716,-65.50251207252154,-0.9811462841214136,-49.34229176304716
PEP-0086,11,0,0,0,0,15083,0.66382,0.1423125,12.6676947150214,0.1889397675,9.06516666666666,195.793992992786,42.9027485468359,9.48147993255894,5,4,188.9397675,9.48147993255894,5,142.2221989883841,0.66382,-46.717568511615895,165.58098324419203,0.7527382978725434,-24.726170212745654,-28.214332102810825,-0.4097797200111098,-24.726170212745654
PEP-0207,11,0,1,0,1,23056,0.88447,0.10575,7.33622725729688,0.187065405,10.285,221.50161997406,84.6482277247851,13.8443039636238,5,5,187.065405,13.8443039636238,5,207.664559454357,0.88447,20.59915445435701,197.3649822271785,1.110117391584815,11.011739158481497,10.437086772893778,0.1507122453161645,11.011739158481497
PEP-0179,11,0,1,0,0,15271,0.80128,0.115785714285714,7.39537975133275,0.185553554285714,11.0508333333333,505.502050369212,49.0342337447946,10.7031265677416,5,5,185.553554285714,10.7031265677416,5,160.546898516124,0.80128,-25.00665576959,173.050226400919,0.8652321381508816,-13.47678618491184,-14.450518956071818,-0.2088408411804094,-13.47678618491184
PEP-0182,12,0,1,0,0,16040,0.96514,0.09571875,10.1034197139529,0.18476398875,11.5483333333333,491.06427419122,54.9644449639163,11.422370108877,5,5,184.76398875,11.422370108877,5,171.335551633155,0.96514,-13.428437116845004,178.04977019157752,0.9273211343417428,-7.267886565825724,-7.541957005839608,-0.1088590594971134,-7.267886565825724
PEP-0184,12,0,0,0,1,13591,0.63907,0.143916666666667,14.7749552408991,0.183945648333333,,,70.1940422160405,21.4346043166119,5,5,183.945648333333,21.4346043166119,5,321.5190647491785,0.63907,137.5734164158455,252.7323565412557,1.7479025335056848,74.79025335056848,54.43442948840948,0.8056247395591077,74.79025335056848
PEP-0264,13,0,1,0,1,19752,0.94199,0.09628125,17.0863188074343,0.181391949375,10.5595,346.614111812089,49.4427077366418,9.65093551495027,5,5,181.391949375,9.65093551495027,5,144.76403272425404,0.94199,-36.62791665074596,163.07799104962703,0.7980730855093058,-20.19269144906942,-22.460367836883364,-0.3254072240365829,-20.19269144906942
PEP-0190,11,0,1,1,0,20343,0.96984,0.0926428571428571,13.292266465249,0.179697497142857,12.0083333333333,522.282330657494,62.8175891804131,10.2930720117343,5,5,179.69749714285695,10.2930720117343,5,154.3960801760145,0.96984,-25.30141696684248,167.04678865943572,0.8591999478616654,-14.080005213833452,-15.146305517088022,-0.2189341891102647,-14.080005213833452
PEP-0061,9,0,0,0,2,13150,0.62746,0.137785714285714,13.7046856542113,0.172910048571429,7.46833333333333,145.579241729911,56.8236348379032,24.2836046315826,5,4,172.910048571429,24.2836046315826,5,364.25406947373904,0.62746,191.34402090231004,268.582059022584,2.1066101853719967,110.6610185371997,71.24229429122839,1.0749233774394105,110.6610185371997
PEP-0212,12,0,0,2,1,23685,0.94661,0.0913214285714286,13.0762840751419,0.172891555,11.518,482.351711234872,83.916125284697,13.3136800388223,5,5,172.891555,13.3136800388223,5,199.7052005823345,0.94661,26.813645582334487,186.29837779116724,1.1550893887346578,15.508938873465793,14.392849739352789,0.2080045015929714,15.508938873465793
PEP-0185,12,0,0,0,1,13485,1.0,0.0851666666666667,12.0432768636463,0.170333333333333,12.2283333333333,424.186584655045,47.8710719125957,14.7613542746209,5,5,170.333333333333,14.7613542746209,5,221.4203141193135,1.0,51.0869807859805,195.87682372632327,1.2999235662582032,29.992356625820317,26.081176840685664,0.3784267972367578,29.992356625820317
PEP-0271,13,0,0,3,1,29873,0.68652,0.123777777777778,12.7197848570801,0.16995184,10.5163333333333,400.396233626769,121.335997960356,14.8707010270799,5,5,169.95184,14.8707010270799,5,223.0605154061985,0.68652,53.1086754061985,196.50617770309924,1.312492500264772,31.24925002647721,27.02646605158657,0.3923091790745818,31.24925002647721
PEP-0196,11,0,0,0,1,17614,1.0,0.082,10.3263234780569,0.164,11.5355,270.03206096825,53.8825530921094,12.022793380215,5,5,164.0,12.022793380215,5,180.341900703225,1.0,16.341900703225008,172.1709503516125,1.0996457359952745,9.964573599527444,9.491671312640785,0.1370388171666534,9.964573599527444
PEP-0333,15,0,1,1,0,24174,0.96188,0.0819583333333333,19.38,0.163916666666667,17.3316666666667,299.444383711766,61.7516860036558,8.51489010281787,5,6,163.916666666667,8.51489010281787,5,127.72335154226803,0.96188,-36.19331512439896,145.82000910446752,0.7791968574007185,-22.080314259928148,-24.82054098520153,-0.3599402360265805,-22.080314259928148
